symbol,company,sector,industry,active
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Financial Services,True
3MINDIA.NS,3M India Ltd.,Diversified,Diversified,True
ABB.NS,ABB India Ltd.,Capital Goods,Capital Goods,True
ACC.NS,ACC Ltd.,Construction Materials,Construction Materials,True
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,Power,True
AIAENG.NS,AIA Engineering Ltd.,Capital Goods,Capital Goods,True
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,Capital Goods,True
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Financial Services,True
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,Financial Services,True
AARTIIND.NS,Aarti Industries Ltd.,Chemicals,Chemicals,True
AAVAS.NS,Aavas Financiers Ltd.,Financial Services,Financial Services,True
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,Healthcare,True
ACE.NS,Action Construction Equipment Ltd.,Capital Goods,Capital Goods,True
ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,Healthcare,True
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,Power,True
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Metals & Mining,True
ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Power,True
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Services,True
ADANIPOWER.NS,Adani Power Ltd.,Power,Power,True
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Financial Services,True
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Consumer Services,True
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Consumer Services,True
ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,Realty,True
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,Financial Services,True
CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods,Capital Goods,True
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
AFCONS.NS,Afcons Infrastructure Ltd.,Construction,Construction,True
AFFLE.NS,Affle 3i Ltd.,Information Technology,Information Technology,True
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,Healthcare,True
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Healthcare,True
ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,True
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,Construction Materials,True
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,Financial Services,True
ANANTRAJ.NS,Anant Raj Ltd.,Realty,Realty,True
ANGELONE.NS,Angel One Ltd.,Financial Services,Financial Services,True
ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,Healthcare,True
ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,Chemicals,True
APARINDS.NS,Apar Industries Ltd.,Capital Goods,Capital Goods,True
